title,faculty,institute,term,ects,url,exam,re_exam
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s23,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTB17277E/Summer-2023,,
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v22,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2022,"[{'grade': '12', 'count': 30}, {'grade': '10', 'count': 20}, {'grade': '7', 'count': 31}, {'grade': '4', 'count': 24}, {'grade': '02', 'count': 19}, {'grade': '00', 'count': 14}, {'grade': '-3', 'count': 4}, {'grade': 'Absent', 'count': 31}, {'grade': 'Failed', 'count': 11}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 5}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 6}, {'grade': '-3', 'count': 5}, {'grade': 'Absent', 'count': 7}]"
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s23,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTB17277E/Summer-2023,,
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v22,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2022,"[{'grade': '12', 'count': 30}, {'grade': '10', 'count': 20}, {'grade': '7', 'count': 31}, {'grade': '4', 'count': 24}, {'grade': '02', 'count': 19}, {'grade': '00', 'count': 14}, {'grade': '-3', 'count': 4}, {'grade': 'Absent', 'count': 31}, {'grade': 'Failed', 'count': 11}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 5}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 6}, {'grade': '-3', 'count': 5}, {'grade': 'Absent', 'count': 7}]"
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s20,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTB17277E/Summer-2020,"[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 5}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}]",
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s21,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTK18277E/Summer-2021,"[{'grade': '12', 'count': 11}, {'grade': '10', 'count': 8}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 5}, {'grade': 'Absent', 'count': 2}]",
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s21,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTB17277E/Summer-2021,,
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s20,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTK18277E/Summer-2020,"[{'grade': '12', 'count': 7}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 4}, {'grade': '4', 'count': 3}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 3}]",
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s23,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTB17277E/Summer-2023,,
"""Os og dem?"" - Indvandrings- og integrationspolitik i Vesteuropa",Det Samfundsvidenskabelige Fakultet,Institut for Statskundskab,s22,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/ASTB17277E/Summer-2022,"[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 5}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 1}]",
