title,faculty,institute,term,ects,url,exam,re_exam
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,s24/B4,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Summer-2024/B4,,
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v23/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2023/B2,"[{'grade': '12', 'count': 38}, {'grade': '10', 'count': 27}, {'grade': '7', 'count': 36}, {'grade': '4', 'count': 20}, {'grade': '02', 'count': 20}, {'grade': '00', 'count': 18}, {'grade': '-3', 'count': 6}, {'grade': 'Absent', 'count': 36}, {'grade': 'Failed', 'count': 4}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 6}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 7}, {'grade': '-3', 'count': 5}, {'grade': 'Absent', 'count': 7}]"
Advanced Computer Systems,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v24/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15006E/Winter-2024/B2,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 15}, {'grade': '7', 'count': 45}, {'grade': '4', 'count': 53}, {'grade': '02', 'count': 24}, {'grade': '00', 'count': 7}, {'grade': '-3', 'count': 0}, {'grade': 'Ej bedømt', 'count': 3}, {'grade': 'Absent', 'count': 28}, {'grade': 'Failed', 'count': 14}]","[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 5}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 6}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Ej bedømt', 'count': 1}, {'grade': 'Absent', 'count': 8}]"
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v20/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2020/B1,"[{'grade': '12', 'count': 19}, {'grade': '10', 'count': 19}, {'grade': '7', 'count': 26}, {'grade': '4', 'count': 20}, {'grade': '02', 'count': 11}, {'grade': '00', 'count': 9}, {'grade': '-3', 'count': 3}, {'grade': 'Absent', 'count': 38}, {'grade': 'Failed', 'count': 7}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 4}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 4}]"
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v24/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2024/B1,,
Advanced Computer Systems,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v23/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15006E/Winter-2023/B2,"[{'grade': '12', 'count': 13}, {'grade': '10', 'count': 21}, {'grade': '7', 'count': 42}, {'grade': '4', 'count': 22}, {'grade': '02', 'count': 13}, {'grade': '00', 'count': 17}, {'grade': '-3', 'count': 4}, {'grade': 'Absent', 'count': 21}, {'grade': 'Failed', 'count': 7}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 6}, {'grade': '4', 'count': 6}, {'grade': '02', 'count': 5}, {'grade': '00', 'count': 5}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 4}, {'grade': 'Failed', 'count': 1}]"
Advanced Computer Systems,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v22/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15006E/Winter-2022/B2,"[{'grade': '12', 'count': 12}, {'grade': '10', 'count': 14}, {'grade': '7', 'count': 31}, {'grade': '4', 'count': 30}, {'grade': '02', 'count': 28}, {'grade': '00', 'count': 19}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 5}, {'grade': 'Failed', 'count': 15}]","[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 4}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}]"
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v22/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2022/B2,"[{'grade': '12', 'count': 30}, {'grade': '10', 'count': 20}, {'grade': '7', 'count': 31}, {'grade': '4', 'count': 24}, {'grade': '02', 'count': 19}, {'grade': '00', 'count': 14}, {'grade': '-3', 'count': 4}, {'grade': 'Absent', 'count': 31}, {'grade': 'Failed', 'count': 11}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 5}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 6}, {'grade': '-3', 'count': 5}, {'grade': 'Absent', 'count': 7}]"
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v24/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2024/B2,"[{'grade': '12', 'count': 21}, {'grade': '10', 'count': 24}, {'grade': '7', 'count': 45}, {'grade': '4', 'count': 39}, {'grade': '02', 'count': 27}, {'grade': '00', 'count': 40}, {'grade': '-3', 'count': 6}, {'grade': 'Ej bedømt', 'count': 2}, {'grade': 'Absent', 'count': 16}, {'grade': 'Failed', 'count': 6}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 8}, {'grade': '02', 'count': 10}, {'grade': '00', 'count': 16}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 6}]"
Advanced Algorithms and Data Structures,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v21/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09023E/Winter-2021/B1,"[{'grade': '12', 'count': 28}, {'grade': '10', 'count': 24}, {'grade': '7', 'count': 21}, {'grade': '4', 'count': 27}, {'grade': '02', 'count': 13}, {'grade': '00', 'count': 12}, {'grade': '-3', 'count': 10}, {'grade': 'Absent', 'count': 31}, {'grade': 'Failed', 'count': 10}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 6}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 4}]"
